2026-08-31 01:41:39,342 | INFO    | 02_model_a_clinical | ======================================================================
2026-08-31 01:41:39,342 | INFO    | 02_model_a_clinical | start 02_model_a_clinical | config=config/config_5y.yaml | seed=42
2026-08-31 01:41:40,302 | INFO    | 02_model_a_clinical | cohort: n=254, positives=94 (37.0%)
2026-08-31 01:41:40,302 | INFO    | 02_model_a_clinical | clinical: keeping 'age' (0.0% missing, median-imputed)
2026-08-31 01:41:40,302 | INFO    | 02_model_a_clinical | clinical: keeping 'stage' (3.9% missing, median-imputed)
2026-08-31 01:41:40,302 | INFO    | 02_model_a_clinical | clinical: dropping 'grade' (100% missing)
2026-08-31 01:41:40,304 | INFO    | 02_model_a_clinical | clinical: keeping PAM50 one-hot (5 levels, 0.0% unknown)
2026-08-31 01:41:40,304 | INFO    | 02_model_a_clinical | Model A design matrix: 254 patients x 7 clinical features: ['age', 'stage', 'pam50_Basal', 'pam50_Her2', 'pam50_LumA', 'pam50_LumB', 'pam50_Normal']
2026-08-31 01:41:40,314 | INFO    | 02_model_a_clinical | generated 50 outer folds (5-fold x 10 repeats), wrote cv_folds.json
2026-08-31 01:41:40,320 | INFO    | 02_model_a_clinical |   fold  1/50 auc=0.733 ap=0.669
2026-08-31 01:41:40,368 | INFO    | 02_model_a_clinical |   fold 11/50 auc=0.654 ap=0.560
2026-08-31 01:41:40,414 | INFO    | 02_model_a_clinical |   fold 21/50 auc=0.670 ap=0.580
2026-08-31 01:41:40,461 | INFO    | 02_model_a_clinical |   fold 31/50 auc=0.778 ap=0.769
2026-08-31 01:41:40,507 | INFO    | 02_model_a_clinical |   fold 41/50 auc=0.551 ap=0.555
2026-08-31 01:41:40,550 | INFO    | 02_model_a_clinical | wrote results/tables_5y/model_a_per_fold.csv  shape=(50, 7)
2026-08-31 01:41:40,552 | INFO    | 02_model_a_clinical | wrote results/tables_5y/model_a_summary.json
2026-08-31 01:41:40,552 | INFO    | 02_model_a_clinical | GATE 2: Model A AUC = 0.6889 [0.6694, 0.7084]  AP = 0.6317 [0.6114, 0.6520]  over 50 folds
