2026-08-31 06:50:14,851 | INFO    | 05_signature_reduction | ======================================================================
2026-08-31 06:50:14,851 | INFO    | 05_signature_reduction | start 05_signature_reduction | config=config/config_5y.yaml | seed=42
2026-08-31 06:50:15,768 | INFO    | 05_signature_reduction | clinical: keeping 'age' (0.0% missing, median-imputed)
2026-08-31 06:50:15,768 | INFO    | 05_signature_reduction | clinical: keeping 'stage' (3.9% missing, median-imputed)
2026-08-31 06:50:15,768 | INFO    | 05_signature_reduction | clinical: dropping 'grade' (100% missing)
2026-08-31 06:50:15,770 | INFO    | 05_signature_reduction | clinical: keeping PAM50 one-hot (5 levels, 0.0% unknown)
2026-08-31 06:50:15,800 | INFO    | 05_signature_reduction | feature pool: 19338
2026-08-31 06:50:15,800 | INFO    | 05_signature_reduction |   candidate model B: AUC=0.6255
2026-08-31 06:50:15,800 | INFO    | 05_signature_reduction |   candidate model C: AUC=0.6193
2026-08-31 06:50:15,800 | INFO    | 05_signature_reduction | best-performing omics model: B (AUC=0.6255)
2026-08-31 06:50:15,802 | INFO    | 05_signature_reduction | reusing 50 existing outer folds from cv_folds.json
2026-08-31 06:50:33,132 | INFO    | 05_signature_reduction | panel   20: AUC=0.6458 [0.6262, 0.6655]  AP=0.5478
2026-08-31 06:50:52,990 | INFO    | 05_signature_reduction | panel   50: AUC=0.6387 [0.6212, 0.6563]  AP=0.5463
2026-08-31 06:51:17,440 | INFO    | 05_signature_reduction | panel  100: AUC=0.6336 [0.6170, 0.6502]  AP=0.5353
2026-08-31 06:51:54,019 | INFO    | 05_signature_reduction | panel  250: AUC=0.6336 [0.6156, 0.6515]  AP=0.5429
2026-08-31 06:52:51,121 | INFO    | 05_signature_reduction | panel  500: AUC=0.6308 [0.6138, 0.6478]  AP=0.5416
2026-08-31 06:52:51,125 | INFO    | 05_signature_reduction | wrote results/tables_5y/signature_panel_curve.csv  shape=(5, 11)
2026-08-31 06:52:51,128 | INFO    | 05_signature_reduction | wrote results/tables_5y/signature_panels.csv  shape=(920, 6)
2026-08-31 06:52:51,129 | INFO    | 05_signature_reduction | GATE 5: best panel = 20 (AUC 0.6458); plateau (within 1 SE) begins at 20 markers
2026-08-31 06:52:51,129 | INFO    | 05_signature_reduction | 50-marker panel composition: {'meth': 40, 'expr': 9, 'clin': 1}
2026-08-31 06:52:51,129 | INFO    | 05_signature_reduction | 50-marker panel:
2026-08-31 06:52:51,129 | INFO    | 05_signature_reduction |     1. stage                    clin         (selected in 100% of folds)
2026-08-31 06:52:51,130 | INFO    | 05_signature_reduction |     2. MIR1284                  meth         (selected in 100% of folds)
2026-08-31 06:52:51,130 | INFO    | 05_signature_reduction |     3. MIR570                   meth         (selected in 100% of folds)
