task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	36/2b6155	95346	VERIFY_DATA (gate0)	COMPLETED	0	2026-08-31 09:05:08.552	2.1s	2s	132.2%	340.7 MB	1.4 GB	53.1 MB	7.2 KB
3	1d/3dcc40	95515	FETCH_GENESETS (msigdb)	COMPLETED	0	2026-08-31 09:05:10.684	1.6s	1.6s	114.3%	262.6 MB	1.2 GB	22.4 MB	1.3 KB
2	d5/fad97f	95537	ASSEMBLE (gate1)	COMPLETED	0	2026-08-31 09:05:10.712	3s	2.9s	108.3%	395.9 MB	1.5 GB	32.6 MB	2.7 MB
6	94/fbc58d	95908	HORIZON_SENSITIVITY (gate1b)	COMPLETED	0	2026-08-31 09:05:13.730	2s	2s	103.8%	335.5 MB	1.4 GB	30 MB	3.3 KB
5	03/07cb8b	95898	MODEL_A (gate2)	COMPLETED	0	2026-08-31 09:05:13.722	6.6s	6.4s	128.4%	466 MB	2.8 GB	92.2 MB	12.9 KB
4	88/569400	95924	MODEL_C (gate4)	COMPLETED	0	2026-08-31 09:05:13.738	16.4s	16.3s	456.6%	560.2 MB	3.5 GB	69.5 MB	15.8 KB
7	a3/33d180	96865	MODEL_B (gate3)	COMPLETED	0	2026-08-31 09:05:20.351	11.7s	11.6s	289.7%	1.7 GB	9.2 GB	216.5 MB	39.8 MB
8	46/96a215	98618	SIGNATURE (gate5)	COMPLETED	0	2026-08-31 09:05:32.113	3.9s	3.9s	348.4%	504.1 MB	3.5 GB	46.8 MB	27.7 KB
10	75/efd946	98911	IMMUNE_DECONV (gate6)	COMPLETED	0	2026-08-31 09:05:36.028	2.5s	2.5s	136.0%	448.6 MB	2.8 GB	42.4 MB	16.4 KB
9	2d/29d4ca	98919	EXTERNAL_METABRIC (gate7)	COMPLETED	0	2026-08-31 09:05:36.035	3.5s	3.5s	181.6%	549.4 MB	3.7 GB	58.2 MB	33.4 KB
11	d7/bd2e65	99439	FIGURES (figures)	COMPLETED	0	2026-08-31 09:05:39.583	5s	5s	184.1%	484.2 MB	2 GB	94.6 MB	436.6 KB
12	0b/9c9f51	99764	REPORT (pdf)	COMPLETED	0	2026-08-31 09:05:44.617	2.6s	2.5s	127.9%	391.6 MB	1.5 GB	32.8 MB	493.6 KB
