key,file,url,description,exists,size_bytes,size_human,n_rows,n_cols,md5
tcga_expression,data/raw/TCGA-BRCA.star_counts.tsv.gz,https://gdc-hub.s3.us-east-1.amazonaws.com/download/TCGA-BRCA.star_counts.tsv.gz,"UCSC Xena, GDC TCGA-BRCA hub. STAR counts, log2(count+1).",True,138503699,138.5 MB,60660,1227,9be24834ef72c439065523c519c6ea09
tcga_methylation,data/raw/TCGA-BRCA.methylation450.tsv.gz,https://gdc-hub.s3.us-east-1.amazonaws.com/download/TCGA-BRCA.methylation450.tsv.gz,"UCSC Xena, GDC TCGA-BRCA hub. Illumina HumanMethylation450 beta values.",True,2985684079,2.99 GB,486427,894,
tcga_clinical,data/raw/TCGA-BRCA.clinical.tsv.gz,https://gdc-hub.s3.us-east-1.amazonaws.com/download/TCGA-BRCA.clinical.tsv.gz,"UCSC Xena, GDC TCGA-BRCA hub. Clinical/phenotype.",True,280146,0.3 MB,1255,85,7204a20f7303fab989f7071d1f284803
tcga_survival,data/raw/TCGA-BRCA.survival.tsv.gz,https://gdc-hub.s3.us-east-1.amazonaws.com/download/TCGA-BRCA.survival.tsv.gz,"UCSC Xena, GDC TCGA-BRCA hub. OS only -- PFI comes from TCGA-CDR.",True,9958,0.0 MB,1232,4,b096f1e4f952a6e4a6f1f8617b29fc30
tcga_cdr,data/raw/TCGA-CDR_Survival_S1.tsv,https://pancanatlas.xenahubs.net/download/Survival_SupplementalTable_S1_20171025_xena_sp,"TCGA-CDR curated endpoints (Liu et al. 2018, Cell). Source of PFI / PFI.time.",True,2419504,2.4 MB,12591,34,50e4e056d3930bb98c51caf5f083d613
tcga_subtype,data/raw/TCGASubtype.20170308.tsv.gz,https://pancanatlas.xenahubs.net/download/TCGASubtype.20170308.tsv.gz,TCGA PanCanAtlas molecular subtype calls (PAM50 for BRCA).,True,45121,0.0 MB,7734,9,b1d07433e6009878ef2d3a14526535cb
methyl_manifest,data/raw/GPL13534_450k_manifest.csv.gz,https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL13nnn/GPL13534/suppl/GPL13534_HumanMethylation450_15017482_v.1.1.csv.gz,Illumina 450k manifest via NCBI GEO GPL13534. Carries UCSC_RefGene_Group.,True,63979757,64.0 MB,486428,33,1c38681926364d725e394cb99ddda2cb
mcp_genes,data/raw/MCPcounter_genes.txt,https://raw.githubusercontent.com/ebecht/MCPcounter/master/Signatures/genes.txt,MCP-counter marker genes (Becht et al. 2016).,True,5342,0.0 MB,111,4,944af31812c3f2aa61526074604e1c77
gencode_gtf,data/raw/gencode.v36.annotation.gtf.gz,(not recorded),,True,44507458,44.5 MB,3014859,1,c03931958d4572148650d62eb6dec41a
metabric_expr,data/raw/metabric_data_mrna_illumina_microarray.txt,https://media.githubusercontent.com/media/cBioPortal/datahub/master/public/brca_metabric/data_mrna_illumina_microarray.txt,"METABRIC expression, Illumina HT-12 v3 microarray (cBioPortal datahub).",True,689254846,689.3 MB,20603,1982,
metabric_patient,data/raw/metabric_data_clinical_patient.txt,https://media.githubusercontent.com/media/cBioPortal/datahub/master/public/brca_metabric/data_clinical_patient.txt,METABRIC patient clinical. Carries RFS_STATUS / RFS_MONTHS.,True,408387,0.4 MB,2513,24,8d78491e8a15c2c5133a052073720962
metabric_sample,data/raw/metabric_data_clinical_sample.txt,https://media.githubusercontent.com/media/cBioPortal/datahub/master/public/brca_metabric/data_clinical_sample.txt,METABRIC sample clinical (ER/HER2/grade/stage).,True,299020,0.3 MB,2513,13,f7bab7b71abaac001a77f3ab7fcfde10
