population,mean_high_risk,mean_low_risk,delta,rank_biserial,u_stat,p_value,p_fdr,significant_fdr_0.05
Endothelial cells,8.8163,9.2483,-0.4319,-0.2704,12283.0,7.462789725233826e-06,7.462789725233825e-05,True
Myeloid dendritic cells,5.7344,6.3818,-0.6474,-0.2205,13123.0,0.00025877792078626393,0.0012938896039313196,True
Neutrophils,5.5444,5.8377,-0.2933,-0.204,13401.0,0.0007252878472625837,0.0024176261575419456,True
B lineage,5.8185,6.3677,-0.5492,-0.1611,14124.0,0.007622610033613314,0.01905652508403328,True
NK cells,2.7703,3.0447,-0.2744,-0.1473,14355.5,0.014665770234013501,0.029331540468027002,True
Fibroblasts,13.9256,14.2565,-0.3309,-0.1366,14537.0,0.023702499409449962,0.0395041656824166,True
T cells,6.3926,6.7099,-0.3173,-0.1108,14970.0,0.06638589988992101,0.09483699984274431,False
Cytotoxic lymphocytes,5.0351,5.2481,-0.2131,-0.0979,15187.0,0.1047470907949242,0.13093386349365524,False
Monocytic lineage,9.755,9.5662,0.1887,0.0854,18273.0,0.1574685270728019,0.174965030080891,False
CD8 T cells,6.7825,6.9301,-0.1475,-0.0413,16140.5,0.494007831118111,0.494007831118111,False
