panel_size,model,metabric_auc,logrank_p,logrank_stat
20,logreg_l2,0.6321,4.6820361497543345e-06,20.963147263610306
250,xgboost,0.5853,0.003503356534992383,8.524818675054455
100,xgboost,0.5791,0.04589913240112501,3.9852924425830674
500,xgboost,0.5678,0.002033955996641303,9.518636940579214
50,xgboost,0.5583,0.6857150051016916,0.1637634144195533
20,xgboost,0.5582,0.2730521247809101,1.201349493463815
100,logreg_l2,0.5331,0.6275593604792211,0.23538500429715375
50,logreg_l2,0.5309,0.8182607253638561,0.052800031910029445
250,logreg_l2,0.5215,0.4196115806816889,0.6514028206404407
500,logreg_l2,0.4806,0.8242964166660356,0.04929396271760008
