fold_id,subsample,reg_lambda,n_estimators,min_child_weight,max_depth,learning_rate,colsample_bytree
0,1.0,5.0,600,3,4,0.1,0.3
1,0.8,10.0,200,5,3,0.05,0.6
2,0.8,5.0,200,1,5,0.05,0.3
3,1.0,10.0,600,3,5,0.1,0.6
4,1.0,10.0,400,1,3,0.1,0.9
5,1.0,5.0,400,1,4,0.1,0.9
6,1.0,1.0,400,5,2,0.05,0.6
7,1.0,10.0,400,1,5,0.1,0.3
8,0.8,10.0,400,5,2,0.01,0.9
9,0.8,5.0,400,5,5,0.05,0.3
10,0.6,10.0,600,5,5,0.1,0.9
11,1.0,5.0,400,1,4,0.05,0.3
12,0.8,10.0,200,1,5,0.1,0.3
13,0.6,10.0,600,5,5,0.05,0.9
14,1.0,1.0,400,5,3,0.05,0.6
15,1.0,10.0,400,5,3,0.1,0.9
16,0.8,5.0,200,1,5,0.1,0.9
17,0.6,10.0,400,1,2,0.1,0.3
18,1.0,1.0,200,5,4,0.05,0.6
19,0.6,5.0,400,5,3,0.05,0.3
20,1.0,10.0,200,3,4,0.01,0.9
21,0.6,10.0,200,3,3,0.1,0.6
22,0.8,10.0,400,5,4,0.05,0.9
23,1.0,10.0,200,1,5,0.05,0.3
24,0.8,5.0,400,3,3,0.1,0.6
25,1.0,1.0,400,1,4,0.1,0.3
26,0.8,10.0,400,1,2,0.05,0.9
27,1.0,10.0,600,5,2,0.05,0.6
28,1.0,10.0,400,5,2,0.1,0.9
29,1.0,10.0,600,1,3,0.01,0.6
30,0.8,5.0,400,5,3,0.05,0.3
31,0.8,10.0,400,5,2,0.05,0.3
32,1.0,5.0,400,1,3,0.05,0.3
33,1.0,10.0,400,3,2,0.05,0.3
34,0.6,1.0,400,5,2,0.05,0.6
35,0.6,5.0,600,1,4,0.1,0.9
36,0.6,5.0,200,5,4,0.01,0.9
37,1.0,1.0,200,1,5,0.05,0.9
38,0.6,1.0,200,5,3,0.1,0.3
39,0.6,1.0,400,5,3,0.1,0.6
40,0.6,10.0,600,5,2,0.05,0.9
41,1.0,1.0,400,1,4,0.1,0.3
42,1.0,1.0,600,3,4,0.1,0.3
43,0.8,1.0,400,5,3,0.05,0.6
44,0.8,5.0,400,5,5,0.05,0.3
45,0.6,1.0,400,1,2,0.05,0.3
46,1.0,10.0,400,5,2,0.01,0.3
47,0.6,5.0,600,3,4,0.05,0.3
48,0.6,1.0,200,5,3,0.1,0.9
49,1.0,10.0,200,1,4,0.05,0.3
