feature,block,mean_abs_shap,folds_selected,selection_frequency
meth:TRIML2,methylation,0.46229836344718933,1,0.02
clin:stage,clinical,0.3445754146575928,50,1.0
meth:BAK1,methylation,0.32976868748664856,1,0.02
expr:PC,expression,0.2956234812736511,1,0.02
meth:MIR1284,methylation,0.2723313694447279,50,1.0
expr:TNFSF11,expression,0.263842354580874,49,0.98
expr:FLT1,expression,0.2602675259113312,1,0.02
meth:DKK2,methylation,0.21680915355682373,2,0.04
expr:TG,expression,0.19780291120211282,3,0.06
meth:ZNF90,methylation,0.151471808552742,1,0.02
meth:LOC619207,methylation,0.14793476462364197,6,0.12
meth:PTGFR,methylation,0.14450106024742126,1,0.02
meth:FCHSD1,methylation,0.123825115384534,8,0.16
expr:SMN2,expression,0.11526354157686,40,0.8
meth:KCNQ1OT1,methylation,0.11469804309308529,2,0.04
meth:MIR24-1,methylation,0.11133657663594931,4,0.08
expr:PAX6,expression,0.11065812760964036,50,1.0
expr:BCL2L10,expression,0.11029469221830368,2,0.04
expr:LGR5,expression,0.10893324762582779,1,0.02
expr:SLC44A4,expression,0.10747237832817648,21,0.42
expr:ST6GALNAC6,expression,0.10385469995439052,50,1.0
expr:DISP2,expression,0.10323537886142731,1,0.02
expr:ERAP2,expression,0.10320083142723888,50,1.0
expr:GRIK2,expression,0.1030256375670433,1,0.02
meth:RNASE6,methylation,0.10271450238019982,47,0.94
meth:CCL7,methylation,0.1014805176459691,17,0.34
expr:DDX4,expression,0.10094131529331207,1,0.02
meth:OR4K13,methylation,0.09997060149908066,1,0.02
expr:PLA2G4C,expression,0.09378024190664291,1,0.02
expr:CNTN2,expression,0.09156055748462677,3,0.06
meth:LOC152024,methylation,0.0903443992137909,1,0.02
meth:ZFP37,methylation,0.08931318422158559,3,0.06
meth:PPP1R2P3,methylation,0.08826615707948804,4,0.08
meth:OSTBETA,methylation,0.0830885749310255,2,0.04
expr:SH3GL2,expression,0.08137962967157364,2,0.04
expr:DCLK3,expression,0.08114396780729294,1,0.02
expr:SLC39A8,expression,0.07914386689662933,1,0.02
meth:SRGN,methylation,0.07885775528848171,2,0.04
expr:CRHR2,expression,0.07872509956359863,1,0.02
meth:DERL3,methylation,0.07742583882507115,21,0.42
expr:BSND,expression,0.07673746347427368,9,0.18
meth:GAP43,methylation,0.07573451443264882,3,0.06
expr:RAB3A,expression,0.07507267873734236,4,0.08
meth:CSNK2A1P,methylation,0.07491222023963928,1,0.02
meth:C8orf48,methylation,0.0735708475112915,2,0.04
meth:OLFML3,methylation,0.07356957346200943,1,0.02
expr:HES4,expression,0.07319105416536331,1,0.02
expr:IFI6,expression,0.07300978153944016,1,0.02
meth:CDH20,methylation,0.07177762687206268,1,0.02
expr:CDRT15,expression,0.07146087568253279,2,0.04
meth:ZNF737,methylation,0.0705722804284758,9,0.18
meth:ALPK2,methylation,0.07030605338513851,2,0.04
meth:ZNF486,methylation,0.06964121080402817,7,0.14
expr:TMEM236,expression,0.06926276428358895,7,0.14
meth:MIR1978,methylation,0.06913959234952927,2,0.04
expr:FBN3,expression,0.06909193843603134,1,0.02
meth:HIGD1C,methylation,0.06897488478571176,5,0.1
expr:H4C2,expression,0.06831644475460052,1,0.02
expr:KCNK3,expression,0.06813434174117179,39,0.78
meth:C5orf23,methylation,0.06733980774879456,1,0.02
expr:ALX1,expression,0.06594154983758926,1,0.02
expr:SYCP2,expression,0.0653667151927948,1,0.02
expr:CFAP20DC,expression,0.0646444708108902,2,0.04
meth:RNF219,methylation,0.0641372948884964,2,0.04
expr:HOXD1,expression,0.0640603889607721,9,0.18
expr:CADPS,expression,0.06278452897677197,25,0.5
expr:ACSF2,expression,0.06209856169996783,50,1.0
expr:LEFTY1,expression,0.061819491907954216,2,0.04
expr:BPI,expression,0.06157556176185608,2,0.04
meth:OR1N1,methylation,0.061545610427856445,1,0.02
expr:LDLR,expression,0.06097471175183143,7,0.14
expr:PPP1R27,expression,0.06012202178438505,3,0.06
meth:RHOJ,methylation,0.05992035195231438,2,0.04
expr:SLC25A18,expression,0.05922504514455795,1,0.02
meth:ZNF431,methylation,0.059178151190280914,1,0.02
expr:ADGRB1,expression,0.0591343492269516,1,0.02
meth:VAV3,methylation,0.059097320586442945,20,0.4
meth:RGMA,methylation,0.05866244062781334,1,0.02
meth:C7orf72,methylation,0.05824248120188713,1,0.02
expr:C21orf62,expression,0.05814111395739019,5,0.1
expr:MUC5AC,expression,0.057535836767209206,19,0.38
expr:TNFRSF13C,expression,0.0574843727876074,13,0.26
