model,n_folds,auc_mean,auc_sd,auc_ci_lo,auc_ci_hi,ap_mean,ap_sd,ap_ci_lo,ap_ci_hi,block,n_features,clinical_forced_in
logreg_l2,50,0.7776,0.0583,0.7615,0.7938,0.5429,0.1074,0.5132,0.5727,clinical,7,False
xgboost,50,0.7422,0.0606,0.7254,0.759,0.4907,0.098,0.4636,0.5179,clinical,7,False
logreg_l2,50,0.6142,0.0717,0.5943,0.6341,0.2963,0.0712,0.2766,0.3161,expression,9758,False
xgboost,50,0.6378,0.0717,0.618,0.6577,0.3176,0.0756,0.2966,0.3385,expression,9758,False
logreg_l2,50,0.6095,0.0817,0.5868,0.6321,0.2905,0.0716,0.2707,0.3104,methylation,9573,False
xgboost,50,0.5946,0.0797,0.5725,0.6167,0.2738,0.0696,0.2545,0.2931,methylation,9573,False
logreg_l2,50,0.6158,0.0716,0.5959,0.6356,0.3034,0.0695,0.2841,0.3227,expression+methylation,19331,False
xgboost,50,0.6365,0.0703,0.6171,0.656,0.3132,0.0768,0.2919,0.3345,expression+methylation,19331,False
logreg_l2,50,0.6473,0.0667,0.6288,0.6658,0.3285,0.0753,0.3077,0.3494,clinical+expression,9765,True
xgboost,50,0.6757,0.0772,0.6543,0.6971,0.3772,0.0877,0.3529,0.4016,clinical+expression,9765,True
logreg_l2,50,0.6593,0.0813,0.6368,0.6818,0.333,0.0874,0.3087,0.3572,clinical+methylation,9580,True
xgboost,50,0.643,0.0818,0.6203,0.6657,0.3333,0.0953,0.3069,0.3597,clinical+methylation,9580,True
logreg_l2,50,0.645,0.0683,0.626,0.6639,0.3275,0.0716,0.3077,0.3474,clinical+expression+methylation,19338,True
xgboost,50,0.6695,0.0726,0.6494,0.6896,0.3579,0.0888,0.3333,0.3825,clinical+expression+methylation,19338,True
