panel_size,rank,feature,block,gene,fold_selection_frequency
20,1,clin:stage,clin,stage,1.0
20,2,meth:MIR1284,meth,MIR1284,1.0
20,3,meth:RUNDC3B,meth,RUNDC3B,0.7
20,4,expr:RBM11,expr,RBM11,0.7
20,5,expr:FLT3,expr,FLT3,0.66
20,6,meth:BGLAP,meth,BGLAP,0.66
20,7,expr:PLA2G10,expr,PLA2G10,0.52
20,8,expr:GSTM2,expr,GSTM2,0.46
20,9,expr:CHAD,expr,CHAD,0.46
20,10,expr:MBOAT1,expr,MBOAT1,0.38
20,11,meth:KIF5C,meth,KIF5C,0.38
20,12,meth:NPB,meth,NPB,0.36
20,13,meth:MIR570,meth,MIR570,0.36
20,14,expr:CLIC6,expr,CLIC6,0.32
20,15,expr:MS4A8,expr,MS4A8,0.32
20,16,meth:SNORA67,meth,SNORA67,0.3
20,17,meth:RNF133,meth,RNF133,0.3
20,18,expr:PAX6,expr,PAX6,0.28
20,19,clin:age,clin,age,0.28
20,20,meth:MIR612,meth,MIR612,0.26
50,1,clin:stage,clin,stage,1.0
50,2,meth:MIR1284,meth,MIR1284,1.0
50,3,expr:FLT3,expr,FLT3,0.88
50,4,meth:BGLAP,meth,BGLAP,0.82
50,5,expr:RBM11,expr,RBM11,0.82
50,6,meth:RUNDC3B,meth,RUNDC3B,0.82
50,7,expr:PLA2G10,expr,PLA2G10,0.8
50,8,expr:GSTM2,expr,GSTM2,0.72
50,9,expr:CHAD,expr,CHAD,0.7
50,10,expr:MBOAT1,expr,MBOAT1,0.66
50,11,meth:MIR570,meth,MIR570,0.66
50,12,expr:PAX6,expr,PAX6,0.62
50,13,expr:BTG2,expr,BTG2,0.62
50,14,expr:MS4A8,expr,MS4A8,0.6
50,15,meth:KIF5C,meth,KIF5C,0.58
50,16,meth:NPB,meth,NPB,0.58
50,17,expr:GLI1,expr,GLI1,0.56
50,18,expr:CLIC6,expr,CLIC6,0.54
50,19,meth:MIR612,meth,MIR612,0.52
50,20,meth:SNORA67,meth,SNORA67,0.5
50,21,clin:age,clin,age,0.48
50,22,meth:RNF133,meth,RNF133,0.46
50,23,expr:ELOVL2,expr,ELOVL2,0.4
50,24,expr:CHPT1,expr,CHPT1,0.4
50,25,meth:C2orf58,meth,C2orf58,0.38
50,26,expr:TMEM45A,expr,TMEM45A,0.38
50,27,expr:ANKRD55,expr,ANKRD55,0.36
50,28,meth:LOC100128842,meth,LOC100128842,0.36
50,29,expr:INPP4B,expr,INPP4B,0.36
50,30,meth:ZNF853,meth,ZNF853,0.36
50,31,expr:STC2,expr,STC2,0.36
50,32,expr:LHX5,expr,LHX5,0.34
50,33,expr:SYCP3,expr,SYCP3,0.34
50,34,meth:MIR548F2,meth,MIR548F2,0.34
50,35,expr:ULBP2,expr,ULBP2,0.34
50,36,expr:SDCBP2,expr,SDCBP2,0.34
50,37,expr:CLEC9A,expr,CLEC9A,0.32
50,38,expr:CCNG2,expr,CCNG2,0.32
50,39,meth:VGLL3,meth,VGLL3,0.3
50,40,meth:SNORA71A,meth,SNORA71A,0.3
50,41,expr:PTGER3,expr,PTGER3,0.3
50,42,expr:RLN1,expr,RLN1,0.3
50,43,expr:AFF3,expr,AFF3,0.3
50,44,expr:ST6GALNAC6,expr,ST6GALNAC6,0.3
50,45,expr:MS4A18,expr,MS4A18,0.3
50,46,expr:RAI2,expr,RAI2,0.28
50,47,expr:CACNG4,expr,CACNG4,0.28
50,48,meth:RP1,meth,RP1,0.28
50,49,expr:PGLYRP2,expr,PGLYRP2,0.26
50,50,meth:SNORD10,meth,SNORD10,0.26
100,1,clin:stage,clin,stage,1.0
100,2,meth:MIR1284,meth,MIR1284,1.0
100,3,expr:FLT3,expr,FLT3,0.98
100,4,expr:RBM11,expr,RBM11,0.96
100,5,meth:BGLAP,meth,BGLAP,0.94
100,6,meth:RUNDC3B,meth,RUNDC3B,0.92
100,7,expr:PLA2G10,expr,PLA2G10,0.92
100,8,expr:CHAD,expr,CHAD,0.88
100,9,expr:GSTM2,expr,GSTM2,0.84
100,10,expr:MBOAT1,expr,MBOAT1,0.84
100,11,expr:BTG2,expr,BTG2,0.84
100,12,meth:MIR570,meth,MIR570,0.82
100,13,expr:CLIC6,expr,CLIC6,0.82
100,14,expr:PAX6,expr,PAX6,0.76
100,15,expr:GLI1,expr,GLI1,0.74
100,16,meth:NPB,meth,NPB,0.72
100,17,expr:MS4A8,expr,MS4A8,0.7
100,18,expr:CHPT1,expr,CHPT1,0.7
100,19,expr:INPP4B,expr,INPP4B,0.7
100,20,meth:KIF5C,meth,KIF5C,0.7
100,21,meth:MIR612,meth,MIR612,0.7
100,22,meth:SNORA67,meth,SNORA67,0.7
100,23,expr:ELOVL2,expr,ELOVL2,0.68
100,24,expr:STC2,expr,STC2,0.68
100,25,expr:TMEM45A,expr,TMEM45A,0.68
100,26,expr:SYCP3,expr,SYCP3,0.66
100,27,clin:age,clin,age,0.64
100,28,expr:ACSF2,expr,ACSF2,0.62
100,29,meth:RNF133,meth,RNF133,0.62
100,30,expr:CYP3A4,expr,CYP3A4,0.6
100,31,expr:CCNG2,expr,CCNG2,0.6
100,32,expr:PGLYRP2,expr,PGLYRP2,0.58
100,33,expr:RAI2,expr,RAI2,0.58
100,34,expr:SDCBP2,expr,SDCBP2,0.58
100,35,expr:AFF3,expr,AFF3,0.56
100,36,expr:ULBP2,expr,ULBP2,0.54
100,37,meth:SNORD10,meth,SNORD10,0.52
100,38,expr:MS4A18,expr,MS4A18,0.52
100,39,expr:ANKRD55,expr,ANKRD55,0.52
100,40,expr:ZNF396,expr,ZNF396,0.52
100,41,meth:C2orf58,meth,C2orf58,0.5
100,42,meth:MIR548F2,meth,MIR548F2,0.5
100,43,expr:ERAP2,expr,ERAP2,0.5
100,44,expr:PTGER3,expr,PTGER3,0.5
100,45,expr:SUSD3,expr,SUSD3,0.5
100,46,expr:CNTD1,expr,CNTD1,0.5
100,47,meth:LOC100128842,meth,LOC100128842,0.5
100,48,expr:KCTD3,expr,KCTD3,0.48
100,49,expr:LHX5,expr,LHX5,0.48
100,50,meth:VGLL3,meth,VGLL3,0.46
100,51,expr:GSTM4,expr,GSTM4,0.46
100,52,expr:ST6GALNAC6,expr,ST6GALNAC6,0.44
100,53,expr:TRPM2,expr,TRPM2,0.44
100,54,meth:RP1,meth,RP1,0.44
100,55,expr:CLEC9A,expr,CLEC9A,0.44
100,56,expr:CACNG4,expr,CACNG4,0.44
100,57,meth:MAFG,meth,MAFG,0.42
100,58,meth:ALOX5,meth,ALOX5,0.42
100,59,expr:CHAC1,expr,CHAC1,0.42
100,60,expr:RLN1,expr,RLN1,0.42
100,61,expr:C2orf50,expr,C2orf50,0.42
100,62,meth:SNORA71A,meth,SNORA71A,0.42
100,63,meth:ZNF853,meth,ZNF853,0.42
100,64,expr:ACOT1,expr,ACOT1,0.42
100,65,meth:WNT3,meth,WNT3,0.4
100,66,expr:MAP2K6,expr,MAP2K6,0.4
100,67,meth:SNORD37,meth,SNORD37,0.4
100,68,meth:HSD17B14,meth,HSD17B14,0.4
100,69,expr:F2RL2,expr,F2RL2,0.4
100,70,expr:JCHAIN,expr,JCHAIN,0.4
100,71,expr:AK7,expr,AK7,0.4
100,72,expr:ADAM22,expr,ADAM22,0.38
100,73,meth:ZNF804B,meth,ZNF804B,0.38
100,74,expr:TLR10,expr,TLR10,0.38
100,75,expr:ABCB1,expr,ABCB1,0.36
100,76,expr:TNFSF11,expr,TNFSF11,0.36
100,77,expr:NUTM2D,expr,NUTM2D,0.36
100,78,expr:SCN7A,expr,SCN7A,0.36
100,79,expr:TMEM92,expr,TMEM92,0.36
100,80,meth:TMEM200B,meth,TMEM200B,0.36
100,81,expr:AGBL2,expr,AGBL2,0.36
100,82,expr:SLURP1,expr,SLURP1,0.34
100,83,meth:CD36,meth,CD36,0.34
100,84,expr:NCAM2,expr,NCAM2,0.34
100,85,expr:TUBA3E,expr,TUBA3E,0.34
100,86,meth:HIST1H2BK,meth,HIST1H2BK,0.32
100,87,meth:CRISP3,meth,CRISP3,0.32
100,88,meth:LHX6,meth,LHX6,0.32
100,89,expr:CCDC9B,expr,CCDC9B,0.32
100,90,expr:GRAMD1C,expr,GRAMD1C,0.32
100,91,meth:UTRN,meth,UTRN,0.3
100,92,expr:C1orf105,expr,C1orf105,0.3
100,93,expr:LEF1,expr,LEF1,0.3
100,94,meth:SNORA20,meth,SNORA20,0.3
100,95,meth:KCNJ8,meth,KCNJ8,0.3
100,96,expr:BCL2,expr,BCL2,0.3
100,97,expr:TRIML2,expr,TRIML2,0.3
100,98,expr:GREB1,expr,GREB1,0.3
100,99,expr:ARMC3,expr,ARMC3,0.3
100,100,meth:CTTNBP2,meth,CTTNBP2,0.3
250,1,clin:stage,clin,stage,1.0
250,2,expr:BTG2,expr,BTG2,1.0
250,3,meth:MIR570,meth,MIR570,1.0
250,4,meth:MIR1284,meth,MIR1284,1.0
250,5,meth:RUNDC3B,meth,RUNDC3B,1.0
250,6,expr:PLA2G10,expr,PLA2G10,1.0
250,7,expr:FLT3,expr,FLT3,1.0
250,8,expr:GSTM2,expr,GSTM2,0.98
250,9,expr:MS4A8,expr,MS4A8,0.98
250,10,meth:BGLAP,meth,BGLAP,0.98
250,11,expr:RBM11,expr,RBM11,0.98
250,12,expr:MBOAT1,expr,MBOAT1,0.98
250,13,expr:CHPT1,expr,CHPT1,0.96
250,14,expr:CLIC6,expr,CLIC6,0.96
250,15,expr:PAX6,expr,PAX6,0.96
250,16,expr:STC2,expr,STC2,0.94
250,17,expr:ELOVL2,expr,ELOVL2,0.92
250,18,meth:MIR612,meth,MIR612,0.92
250,19,expr:CHAD,expr,CHAD,0.92
250,20,expr:SYCP3,expr,SYCP3,0.9
250,21,expr:PTGER3,expr,PTGER3,0.9
250,22,expr:GLI1,expr,GLI1,0.9
250,23,expr:INPP4B,expr,INPP4B,0.88
250,24,meth:SNORA67,meth,SNORA67,0.88
250,25,expr:CNTD1,expr,CNTD1,0.88
250,26,meth:RNF133,meth,RNF133,0.88
250,27,expr:RAI2,expr,RAI2,0.88
250,28,clin:age,clin,age,0.88
250,29,expr:TMEM45A,expr,TMEM45A,0.86
250,30,expr:CLEC9A,expr,CLEC9A,0.86
250,31,expr:PGLYRP2,expr,PGLYRP2,0.86
250,32,meth:KIF5C,meth,KIF5C,0.86
250,33,meth:NPB,meth,NPB,0.86
250,34,expr:CCNG2,expr,CCNG2,0.86
250,35,expr:AFF3,expr,AFF3,0.84
250,36,expr:ULBP2,expr,ULBP2,0.84
250,37,expr:ACSF2,expr,ACSF2,0.82
250,38,expr:SUSD3,expr,SUSD3,0.82
250,39,expr:ANKRD55,expr,ANKRD55,0.82
250,40,expr:MS4A18,expr,MS4A18,0.82
250,41,meth:HSD17B14,meth,HSD17B14,0.8
250,42,expr:SDCBP2,expr,SDCBP2,0.8
250,43,expr:KCTD3,expr,KCTD3,0.8
250,44,expr:TRPM2,expr,TRPM2,0.8
250,45,expr:CYP3A4,expr,CYP3A4,0.78
250,46,meth:SNORD10,meth,SNORD10,0.78
250,47,expr:SCN7A,expr,SCN7A,0.78
250,48,meth:MIR548F2,meth,MIR548F2,0.78
250,49,expr:AK7,expr,AK7,0.78
250,50,expr:ZNF396,expr,ZNF396,0.78
250,51,expr:AGBL2,expr,AGBL2,0.76
250,52,meth:C2orf58,meth,C2orf58,0.76
250,53,expr:MAP2K6,expr,MAP2K6,0.76
250,54,expr:C2orf50,expr,C2orf50,0.76
250,55,expr:GSTM4,expr,GSTM4,0.76
250,56,expr:RLN1,expr,RLN1,0.74
250,57,expr:TRIML2,expr,TRIML2,0.74
250,58,expr:LHX5,expr,LHX5,0.74
250,59,meth:VGLL3,meth,VGLL3,0.74
250,60,expr:WNK4,expr,WNK4,0.74
250,61,expr:GRAMD1C,expr,GRAMD1C,0.72
250,62,meth:RP1,meth,RP1,0.72
250,63,expr:TUBA3E,expr,TUBA3E,0.72
250,64,meth:SNORA71A,meth,SNORA71A,0.7
250,65,meth:ALOX5,meth,ALOX5,0.7
250,66,expr:TMEM92,expr,TMEM92,0.7
250,67,expr:MAP3K1,expr,MAP3K1,0.7
250,68,expr:TLR10,expr,TLR10,0.68
250,69,meth:MAFG,meth,MAFG,0.68
250,70,expr:ABCB1,expr,ABCB1,0.68
250,71,meth:ZNF853,meth,ZNF853,0.68
250,72,expr:CHAC1,expr,CHAC1,0.68
250,73,expr:CYP4F12,expr,CYP4F12,0.68
250,74,expr:CACNG4,expr,CACNG4,0.66
250,75,expr:JCHAIN,expr,JCHAIN,0.66
250,76,expr:SLURP1,expr,SLURP1,0.66
250,77,expr:PCLO,expr,PCLO,0.66
250,78,expr:WLS,expr,WLS,0.66
250,79,expr:NUTM2D,expr,NUTM2D,0.66
250,80,expr:GREB1,expr,GREB1,0.64
250,81,meth:LOC100128842,meth,LOC100128842,0.64
250,82,expr:ERAP2,expr,ERAP2,0.64
250,83,meth:CRISP3,meth,CRISP3,0.64
250,84,expr:TLX3,expr,TLX3,0.64
250,85,meth:ZNF804B,meth,ZNF804B,0.62
250,86,expr:CCDC9B,expr,CCDC9B,0.62
250,87,expr:ACOT1,expr,ACOT1,0.62
250,88,expr:GRPR,expr,GRPR,0.62
250,89,expr:F2RL2,expr,F2RL2,0.62
250,90,meth:ZNF532,meth,ZNF532,0.62
250,91,meth:WNT3,meth,WNT3,0.62
250,92,expr:TNFSF11,expr,TNFSF11,0.62
250,93,expr:RP1,expr,RP1,0.62
250,94,expr:B3GNT4,expr,B3GNT4,0.62
250,95,meth:UTRN,meth,UTRN,0.62
250,96,expr:LEF1,expr,LEF1,0.6
250,97,expr:CACNA1D,expr,CACNA1D,0.6
250,98,expr:IL6ST,expr,IL6ST,0.6
250,99,expr:SIAH2,expr,SIAH2,0.6
250,100,expr:RLN2,expr,RLN2,0.6
250,101,meth:SNORA20,meth,SNORA20,0.6
250,102,expr:ADAM22,expr,ADAM22,0.6
250,103,expr:FBXO36,expr,FBXO36,0.58
250,104,meth:SNORD37,meth,SNORD37,0.58
250,105,expr:ST6GALNAC6,expr,ST6GALNAC6,0.58
250,106,expr:SLC23A1,expr,SLC23A1,0.58
250,107,expr:C1orf167,expr,C1orf167,0.58
250,108,expr:TENT5C,expr,TENT5C,0.58
250,109,expr:NCAM2,expr,NCAM2,0.58
250,110,expr:GATA3,expr,GATA3,0.58
250,111,expr:LMO1,expr,LMO1,0.56
250,112,expr:SPATA4,expr,SPATA4,0.56
250,113,meth:MTPAP,meth,MTPAP,0.56
250,114,expr:GSTM3,expr,GSTM3,0.56
250,115,meth:TMEM200B,meth,TMEM200B,0.56
250,116,meth:ZNF710,meth,ZNF710,0.56
250,117,meth:HIST1H2BK,meth,HIST1H2BK,0.56
250,118,expr:CROT,expr,CROT,0.56
250,119,expr:RASGRP1,expr,RASGRP1,0.56
250,120,expr:FGF19,expr,FGF19,0.56
250,121,meth:DPY19L2P4,meth,DPY19L2P4,0.56
250,122,expr:RBBP8,expr,RBBP8,0.56
250,123,expr:MROH8,expr,MROH8,0.56
250,124,meth:MIR1282,meth,MIR1282,0.56
250,125,expr:BCL2,expr,BCL2,0.54
