patient,B lineage,CD8 T cells,Cytotoxic lymphocytes,Endothelial cells,Fibroblasts,Monocytic lineage,Myeloid dendritic cells,NK cells,Neutrophils,T cells
TCGA-3C-AAAU,6.6786804,4.169925,4.0260186,8.575022,13.236769,8.196493,4.3771563,2.3048348,5.432458,5.0429673
TCGA-3C-AALI,6.3802867,7.70044,5.613786,8.068847,13.912173,8.978955,4.9148045,3.2264857,4.908133,7.3672724
TCGA-A1-A0SK,5.3772388,8.108524,3.1702173,8.2233305,12.464014,9.2288885,2.4482777,1.7503519,4.2001905,4.616442
TCGA-A2-A04R,3.2962518,3.0,3.6720119,8.901048,14.29753,7.5281544,3.7403588,1.977098,5.76159,3.8273847
TCGA-A2-A0CK,5.551218,7.228819,5.1822095,9.35979,14.117596,8.989629,5.614169,2.2644415,5.3820543,6.840258
TCGA-A2-A0CO,9.676041,8.139551,5.772654,10.447565,14.993303,9.785333,7.3705177,3.4573438,6.677557,8.732087
TCGA-A2-A0CR,10.462852,10.6510515,6.854649,9.271077,14.477887,10.042145,8.492776,4.233962,6.4923296,9.500994
TCGA-A2-A0CT,4.007926,5.2479277,5.118477,8.705515,13.39617,8.586923,4.7492085,0.72591937,5.486968,4.056879
TCGA-A2-A0EN,8.634614,9.172427,6.7857013,10.533428,15.269051,10.96078,8.962524,4.4838524,6.4403515,8.727085
TCGA-A2-A0EP,10.538389,9.011228,7.415505,10.552685,15.400488,12.06866,10.781158,4.5603004,7.6307077,9.942003
TCGA-A2-A0ST,11.32407,9.442944,7.2084403,9.444938,12.844181,11.64217,11.078334,4.7291884,6.7124653,9.449288
TCGA-A2-A0SV,4.567318,5.523562,4.642613,8.609225,15.451521,11.913971,5.660834,3.0535614,5.9532776,6.7531505
TCGA-A2-A0SW,8.597542,8.748193,6.614975,8.642867,13.776322,10.590346,5.513309,4.097083,5.2054434,7.7337365
TCGA-A2-A0SX,9.557896,8.679481,6.621041,9.310459,14.699003,11.322309,8.314976,3.9985538,6.8238254,8.983732
TCGA-A2-A0T2,3.058084,7.5698557,4.4529014,8.592554,14.176324,9.245261,3.601366,2.9999428,4.830997,5.839975
TCGA-A2-A0YC,4.9997063,6.523562,5.917928,9.640409,14.519937,10.239382,7.542577,2.5748022,6.437999,6.526527
