population,mean_high_risk,mean_low_risk,delta,rank_biserial,u_stat,p_value,p_fdr,significant_fdr_0.05
Endothelial cells,8.7732,9.2844,-0.5112,-0.2845,5770.0,8.913383336983321e-05,0.0008913383336983321,True
Myeloid dendritic cells,5.6227,6.4865,-0.8638,-0.2612,5958.0,0.00032155269672589715,0.0016077634836294858,True
B lineage,5.5946,6.4706,-0.876,-0.2487,6059.0,0.0006153240549493217,0.0020510801831644058,True
NK cells,2.6884,3.2099,-0.5215,-0.2373,6150.5,0.0010812818182014655,0.0027032045455036634,True
Cytotoxic lymphocytes,4.9008,5.4008,-0.5,-0.2148,6332.0,0.0030918721375287265,0.0055064019220525786,True
Neutrophils,5.5222,5.8425,-0.3203,-0.2133,6344.0,0.003303841153231547,0.0055064019220525786,True
T cells,6.2439,6.8321,-0.5883,-0.208,6387.0,0.004176590400978818,0.005966557715684026,True
CD8 T cells,6.5283,7.0844,-0.5561,-0.1685,6706.0,0.020358667916794835,0.025448334895993543,True
Fibroblasts,13.9583,14.2101,-0.2519,-0.0999,7259.0,0.169121635095409,0.18791292788378777,False
Monocytic lineage,9.7083,9.7961,-0.0878,-0.0421,7725.0,0.5625550365946228,0.5625550365946228,False
