auc,ap,n,n_pos,fold_id,repeat,fold
0.7327302631578947,0.6685428662282689,51,19,0,0,0
0.6167763157894737,0.5721669330460502,51,19,1,0,1
0.705592105263158,0.6718881745247032,51,19,2,0,2
0.705592105263158,0.7214887997017614,51,19,3,0,3
0.6579861111111112,0.5809846277304059,50,18,4,0,4
0.5748355263157895,0.5550926265510749,51,19,5,1,0
0.743421052631579,0.6751200129868187,51,19,6,1,1
0.7606907894736842,0.7124490351360482,51,19,7,1,2
0.6274671052631579,0.5515158383564931,51,19,8,1,3
0.7152777777777778,0.6817051582183723,50,18,9,1,4
0.653782894736842,0.5603469469835705,51,19,10,2,0
0.6669407894736843,0.6284706678354592,51,19,11,2,1
0.5189144736842105,0.435100178842842,51,19,12,2,2
0.8470394736842105,0.8289747857565726,51,19,13,2,3
0.7673611111111112,0.6821005990813502,50,18,14,2,4
0.6167763157894737,0.5314017362740597,51,19,15,3,0
0.6800986842105263,0.6494090345983743,51,19,16,3,1
0.7228618421052632,0.6062321538621913,51,19,17,3,2
0.727796052631579,0.6258364093412405,51,19,18,3,3
0.6631944444444444,0.6659666628212568,50,18,19,3,4
0.6702302631578947,0.5804709718557852,51,19,20,4,0
0.6447368421052632,0.6453835522096436,51,19,21,4,1
0.7853618421052632,0.722230154794915,51,19,22,4,2
0.71875,0.6594911495657847,51,19,23,4,3
0.657986111111111,0.5951890646690305,50,18,24,4,4
0.7047697368421053,0.6294268148404167,51,19,25,5,0
0.6620065789473684,0.6454897354083138,51,19,26,5,1
0.768092105263158,0.6752199744222094,51,19,27,5,2
0.6866776315789473,0.6257113254098752,51,19,28,5,3
0.5564236111111112,0.50390850024677,50,18,29,5,4
0.7779605263157894,0.7689376016589049,51,19,30,6,0
0.6611842105263158,0.6063691076358777,51,19,31,6,1
0.709703947368421,0.6782762924967345,51,19,32,6,2
0.694078947368421,0.6320712504270083,51,19,33,6,3
0.6649305555555556,0.5822517008059545,50,18,34,6,4
0.696546052631579,0.6224766450363151,51,19,35,7,0
0.7203947368421053,0.6865645499679263,51,19,36,7,1
0.7220394736842105,0.6514264912295449,51,19,37,7,2
0.6529605263157895,0.6496349220001993,51,19,38,7,3
0.6527777777777778,0.536271213574051,50,18,39,7,4
0.5509868421052632,0.5552373522228866,51,19,40,8,0
0.6842105263157895,0.5774609080646544,51,19,41,8,1
0.6463815789473685,0.6164716811657853,51,19,42,8,2
0.8256578947368421,0.7166046420132722,51,19,43,8,3
0.7543402777777777,0.7142059269346323,50,18,44,8,4
0.7072368421052632,0.5678087805044929,51,19,45,9,0
0.7598684210526316,0.7585122696129802,51,19,46,9,1
0.5172697368421053,0.5197355676183315,51,19,47,9,2
0.731907894736842,0.6350955936868456,51,19,48,9,3
0.7560763888888888,0.6227993584498079,50,18,49,9,4
