fold_id,subsample,reg_lambda,n_estimators,min_child_weight,max_depth,learning_rate,colsample_bytree
0,0.6,1.0,600,1,2,0.1,0.6
1,0.6,5.0,200,5,2,0.05,0.9
2,0.8,5.0,200,1,5,0.05,0.3
3,0.8,1.0,400,1,5,0.05,0.3
4,1.0,1.0,200,3,4,0.05,0.9
5,0.8,1.0,600,3,3,0.1,0.3
6,0.6,1.0,600,1,4,0.05,0.6
7,0.6,10.0,200,3,5,0.05,0.6
8,1.0,1.0,400,1,3,0.1,0.6
9,0.6,1.0,400,5,4,0.05,0.3
10,0.6,10.0,200,3,5,0.1,0.3
11,0.6,5.0,400,3,4,0.05,0.9
12,0.6,1.0,400,3,2,0.05,0.6
13,0.6,10.0,200,5,3,0.01,0.9
14,0.6,10.0,200,1,3,0.01,0.3
15,0.6,5.0,400,1,2,0.01,0.6
16,0.8,10.0,200,5,3,0.01,0.6
17,1.0,1.0,400,3,3,0.01,0.6
18,0.8,5.0,600,3,3,0.1,0.9
19,1.0,1.0,400,5,4,0.01,0.9
20,0.8,10.0,400,1,3,0.01,0.3
21,0.8,5.0,200,5,3,0.01,0.3
22,0.8,10.0,400,5,4,0.05,0.9
23,1.0,10.0,200,1,5,0.05,0.3
24,0.8,5.0,400,3,3,0.1,0.6
25,0.8,1.0,400,3,3,0.1,0.6
26,0.8,5.0,400,3,4,0.01,0.3
27,0.6,10.0,200,1,2,0.1,0.6
28,0.6,1.0,400,3,3,0.01,0.3
29,0.6,5.0,600,1,3,0.01,0.9
30,1.0,1.0,200,3,4,0.1,0.6
31,0.8,1.0,200,1,3,0.1,0.6
32,0.8,10.0,400,3,5,0.1,0.9
33,0.6,10.0,600,5,2,0.01,0.6
34,0.8,1.0,600,1,3,0.1,0.3
35,0.8,10.0,200,1,4,0.01,0.6
36,0.6,5.0,200,5,4,0.01,0.9
37,1.0,1.0,200,1,5,0.05,0.9
38,0.6,1.0,200,5,3,0.1,0.3
39,1.0,1.0,200,1,3,0.01,0.3
40,0.6,1.0,600,3,3,0.05,0.3
41,0.6,10.0,600,1,4,0.01,0.9
42,1.0,1.0,600,3,5,0.01,0.6
43,0.6,5.0,200,1,2,0.01,0.6
44,1.0,1.0,600,5,2,0.1,0.6
45,0.6,1.0,400,1,2,0.05,0.3
46,1.0,10.0,400,5,2,0.01,0.3
47,0.8,5.0,600,5,5,0.1,0.6
48,1.0,10.0,600,1,2,0.1,0.9
49,0.6,5.0,600,5,5,0.05,0.3
