feature,block,mean_abs_shap,folds_selected,selection_frequency
expr:TSPYL5,expression,0.2841816246509552,1,0.02
meth:CCL7,methylation,0.2016815805600749,45,0.9
meth:ZNF135,methylation,0.1844404637813568,1,0.02
expr:EPHA5,expression,0.17000719904899597,1,0.02
meth:SLC22A16,methylation,0.16565006971359253,1,0.02
expr:SCG2,expression,0.10705268227528515,21,0.42
meth:A2M,methylation,0.10587587207555771,1,0.02
meth:EMCN,methylation,0.10314038147528966,3,0.06
meth:MIR1295,methylation,0.10213544219732285,1,0.02
expr:VENTX,expression,0.10073249042034149,2,0.04
expr:RIMBP3,expression,0.09286349564790726,5,0.1
meth:GNA15,methylation,0.09104412297407787,3,0.06
meth:GRIP1,methylation,0.0898643719135887,27,0.54
expr:MSX1,expression,0.08874715864658356,1,0.02
expr:CADPS,expression,0.08744712185580283,16,0.32
expr:CDK5R1,expression,0.08727434638720484,39,0.78
expr:C5orf63,expression,0.08585060387849808,1,0.02
expr:SAMD11,expression,0.08570384932681918,8,0.16
expr:LRRC43,expression,0.08213527500629425,1,0.02
meth:ZNF257,methylation,0.08178599302967389,3,0.06
expr:CCDC83,expression,0.0806199461221695,1,0.02
expr:GRIK2,expression,0.08054109492028753,18,0.36
meth:KCNK1,methylation,0.07919520227704197,50,1.0
meth:MIR135A1,methylation,0.07391736693680287,5,0.1
meth:LILRA1,methylation,0.07245272397994995,2,0.04
meth:LXN,methylation,0.07162703038193285,4,0.08
expr:ANKRD18B,expression,0.06980472058057785,1,0.02
meth:FLJ40504,methylation,0.06872952142013954,26,0.52
expr:H2BU1,expression,0.06836691813077778,12,0.24
meth:NTS,methylation,0.06815213710069656,1,0.02
expr:LDLR,expression,0.06751924008131027,6,0.12
meth:HSF4,methylation,0.06666535139083862,1,0.02
expr:MAMDC4,expression,0.06400050329044461,25,0.5
meth:MRGPRX2,methylation,0.062464768067002296,2,0.04
expr:HES4,expression,0.06240355968475342,3,0.06
expr:IRX2,expression,0.06119634583592415,1,0.02
meth:GPC6,methylation,0.061184536665678024,1,0.02
expr:HYAL4,expression,0.06118192927628432,46,0.92
expr:MYH15,expression,0.05991673469543457,1,0.02
meth:SNORD116-8,methylation,0.05973813682794571,1,0.02
meth:MAMDC4,methylation,0.05966901022475213,2,0.04
meth:RNASE6,methylation,0.05951457924442366,50,1.0
expr:ERP27,expression,0.059134755788060524,30,0.6
meth:MIR570,methylation,0.05909965603612363,50,1.0
expr:TMEM181,expression,0.05884717032313347,2,0.04
meth:GPR172B,methylation,0.05880136364915719,3,0.06
meth:ALDH2,methylation,0.0580873042345047,3,0.06
meth:C12orf63,methylation,0.057237953970046794,46,0.92
expr:PCDHA3,expression,0.057206767404245004,9,0.18
meth:PM20D1,methylation,0.05694466456770897,1,0.02
expr:ANPEP,expression,0.056161075830459595,1,0.02
expr:PNMT,expression,0.05464361235499382,1,0.02
meth:CCL13,methylation,0.05460452957389255,15,0.3
expr:EYS,expression,0.05456935428082943,2,0.04
meth:TTC22,methylation,0.053861938416957855,3,0.06
expr:FEZ1,expression,0.05347489413805306,25,0.5
expr:ATF7-NPFF,expression,0.05331768840551376,1,0.02
expr:GLDC,expression,0.05325797378855686,26,0.52
meth:GP6,methylation,0.05290474908958588,7,0.14
expr:SMYD3,expression,0.05267752707004547,1,0.02
expr:TPD52L1,expression,0.052206020802259445,1,0.02
expr:HSFX1,expression,0.05186278838664293,2,0.04
meth:PNPLA1,methylation,0.05176433336544925,26,0.52
expr:TNNI3,expression,0.051215110113844275,20,0.4
expr:NBL1,expression,0.05116361541920068,17,0.34
expr:SCD,expression,0.05024103177035408,31,0.62
expr:KLHDC7B,expression,0.050051114670085634,11,0.22
expr:ELOVL7,expression,0.050007456015529375,14,0.28
expr:ACBD7,expression,0.04959198459982872,1,0.02
expr:PNMA8A,expression,0.049308039247989655,1,0.02
meth:PRSS1,methylation,0.04877615446009888,26,0.52
expr:PCDHA11,expression,0.048636379092931746,10,0.2
expr:CBARP,expression,0.04854795685969293,4,0.08
expr:SNTG1,expression,0.048331660883767266,7,0.14
expr:CA14,expression,0.04788408428430557,2,0.04
meth:MIR1284,methylation,0.047617466950323435,50,1.0
meth:C21orf56,methylation,0.047231818394114576,12,0.24
expr:OPN4,expression,0.04719291627407074,7,0.14
meth:HIST1H2AH,methylation,0.04671644548546861,11,0.22
expr:TTC9B,expression,0.046402834355831146,1,0.02
expr:GRIK1,expression,0.04468174154559771,3,0.06
meth:ADAM29,methylation,0.044218357652425766,2,0.04
expr:H1-5,expression,0.044194020330905914,1,0.02
expr:COL21A1,expression,0.04415885731577873,1,0.02
expr:SEZ6L2,expression,0.04388080865073089,13,0.26
meth:ECM1,methylation,0.04329912651640674,24,0.48
meth:WT1,methylation,0.04319157307535144,21,0.42
expr:CYP24A1,expression,0.04315050362298886,15,0.3
expr:CXXC4,expression,0.04271855171431194,11,0.22
expr:CRLF1,expression,0.0425842871987506,38,0.76
expr:TMEM121,expression,0.04243363154819235,4,0.08
expr:ZNF98,expression,0.04229937493801117,2,0.04
expr:PMEPA1,expression,0.042175354569086006,7,0.14
expr:SMN2,expression,0.04196528672596637,26,0.52
meth:RBM46,methylation,0.04178618095951,24,0.48
expr:HMGN5,expression,0.04153376771137118,2,0.04
meth:OR5E1P,methylation,0.04026386886835098,1,0.02
expr:NIM1K,expression,0.040107364184223115,2,0.04
meth:HS3ST3B1,methylation,0.04006277211010456,2,0.04
clin:stage,clinical,0.039782301867380736,50,1.0
meth:KRTAP10-1,methylation,0.03975987061858177,2,0.04
meth:EIF3G,methylation,0.0393645255966112,50,1.0
meth:RNF183,methylation,0.03922584389802068,50,1.0
expr:RAB34,expression,0.03914040687959641,4,0.08
meth:DPY19L2P4,methylation,0.03856612338374058,9,0.18
expr:PKLR,expression,0.0385151244699955,1,0.02
meth:XKR6,methylation,0.03841961547732353,2,0.04
meth:NTM,methylation,0.038407307118177414,1,0.02
expr:SUSD5,expression,0.0383538119494915,1,0.02
expr:MAB21L3,expression,0.038124451899955815,17,0.34
expr:CECR2,expression,0.037632870798309646,3,0.06
expr:DDX43,expression,0.03722203616052866,4,0.08
expr:WNT9A,expression,0.036642298102378845,1,0.02
meth:CALML5,methylation,0.03619107647798955,50,1.0
expr:THRSP,expression,0.03605024872693974,39,0.78
expr:MUC5AC,expression,0.0360145578160882,2,0.04
meth:OR10G9,methylation,0.03597615659236908,1,0.02
meth:C2orf27B,methylation,0.035767508670687675,4,0.08
expr:NANOS3,expression,0.03576567396521568,1,0.02
meth:ZNF132,methylation,0.03573056228342466,10,0.2
expr:CLU,expression,0.03566194698214531,1,0.02
meth:PCDHB9,methylation,0.03555587606388144,8,0.16
expr:FAM166B,expression,0.035513701502085576,44,0.88
expr:NYNRIN,expression,0.035111796110868454,1,0.02
meth:HSPA7,methylation,0.03499458326647679,6,0.12
meth:MMP20,methylation,0.034924091455260556,42,0.84
expr:PRSS21,expression,0.034838246181607246,2,0.04
meth:PLCZ1,methylation,0.034777224878780544,4,0.08
expr:UNC119B,expression,0.03471623817458749,5,0.1
expr:HAS3,expression,0.03457868844270706,1,0.02
meth:C13orf16,methylation,0.034470157274525896,46,0.92
expr:DGKB,expression,0.03421173860657622,11,0.22
expr:ASIC1,expression,0.03419568528188392,50,1.0
