auc,ap,n,n_pos,fold_id,repeat,fold,epochs,val_loss,n_pathways,n_genes_connected
0.649671052631579,0.5597432382605652,51,19,0,0,0,41,0.6228,223,1260
0.6348684210526315,0.5965351599555018,51,19,1,0,1,40,0.6302,221,1233
0.6842105263157895,0.5970720656909814,51,19,2,0,2,37,0.8256,215,1262
0.7286184210526315,0.6595261336367286,51,19,3,0,3,56,0.5281,196,1244
0.6805555555555556,0.5040359981525795,50,18,4,0,4,41,0.6379,232,1279
0.6167763157894737,0.590310680087959,51,19,5,1,0,47,0.631,218,1243
0.638157894736842,0.5155791912892216,51,19,6,1,1,53,0.6717,227,1251
0.6578947368421053,0.6455107984650299,51,19,7,1,2,43,0.5724,224,1250
0.6677631578947368,0.6043213661210491,51,19,8,1,3,42,0.7061,222,1235
0.578125,0.48007065292186923,50,18,9,1,4,38,0.7135,221,1254
0.5674342105263157,0.42652258446590663,51,19,10,2,0,43,0.7335,225,1261
0.7335526315789473,0.6622179553514009,51,19,11,2,1,35,0.7506,217,1230
0.6332236842105263,0.5402309069500686,51,19,12,2,2,43,0.5626,223,1224
0.6825657894736842,0.6573872492320454,51,19,13,2,3,44,0.7664,230,1249
0.5920138888888888,0.4647197600742972,50,18,14,2,4,29,0.8207,219,1297
0.5213815789473684,0.5217306944452762,51,19,15,3,0,27,0.8173,242,1244
0.6019736842105263,0.5054708292495237,51,19,16,3,1,34,0.7871,223,1259
0.5575657894736843,0.41512850854138383,51,19,17,3,2,37,0.6776,224,1253
0.6282894736842106,0.6077445831597033,51,19,18,3,3,35,0.7171,228,1263
0.5746527777777778,0.4794982027703333,50,18,19,3,4,28,0.7771,219,1210
0.6973684210526315,0.6560093138107179,51,19,20,4,0,37,0.7616,227,1233
0.43585526315789475,0.423200820350336,51,19,21,4,1,23,0.849,211,1259
0.5970394736842105,0.4860038675143813,51,19,22,4,2,40,0.5144,243,1278
0.6710526315789473,0.5284294077753979,51,19,23,4,3,25,0.8406,227,1257
0.7430555555555556,0.611865046629112,50,18,24,4,4,34,0.815,238,1248
0.5180921052631577,0.444887006791566,51,19,25,5,0,39,0.6368,239,1289
0.5197368421052632,0.5484968477193997,51,19,26,5,1,45,0.6707,216,1238
0.6447368421052632,0.5736225632465652,51,19,27,5,2,26,0.8384,207,1237
0.6430921052631579,0.5099342472788765,51,19,28,5,3,31,0.7534,216,1251
0.6666666666666666,0.5981472624978996,50,18,29,5,4,36,0.7602,209,1243
0.606907894736842,0.472848655994189,51,19,30,6,0,31,0.766,219,1226
0.680921052631579,0.5732986054823992,51,19,31,6,1,29,0.8336,225,1230
0.6167763157894737,0.6398560283659205,51,19,32,6,2,22,0.8687,211,1234
0.513157894736842,0.37296631383934087,51,19,33,6,3,21,0.8584,228,1273
0.609375,0.4952573408302524,50,18,34,6,4,26,0.8337,231,1258
0.5970394736842105,0.48321760500822286,51,19,35,7,0,37,0.7788,225,1264
0.6644736842105263,0.598120764827994,51,19,36,7,1,34,0.7621,193,1205
0.6463815789473684,0.6186213640129057,51,19,37,7,2,22,0.8654,238,1252
0.6365131578947368,0.6029315446123218,51,19,38,7,3,48,0.5358,233,1255
0.5173611111111112,0.40759481166919376,50,18,39,7,4,21,0.8559,233,1250
0.4983552631578947,0.38894821652111256,51,19,40,8,0,39,0.62,215,1236
0.5904605263157895,0.47153282682962144,51,19,41,8,1,55,0.4754,240,1240
0.6513157894736842,0.5928472653960095,51,19,42,8,2,41,0.6776,227,1261
0.6052631578947368,0.4949664498100951,51,19,43,8,3,36,0.7864,227,1256
0.6371527777777778,0.5598016093254189,50,18,44,8,4,33,0.6844,241,1254
0.600328947368421,0.5333369445575974,51,19,45,9,0,42,0.5746,223,1250
0.59375,0.4713877299562488,51,19,46,9,1,47,0.7014,213,1242
0.6348684210526315,0.577971972777908,51,19,47,9,2,39,0.7248,233,1294
0.6101973684210527,0.5146067333612498,51,19,48,9,3,22,0.859,228,1245
0.6875,0.6063517999792509,50,18,49,9,4,22,0.8369,234,1238
