panel_size,rank,feature,block,gene,fold_selection_frequency
20,1,meth:MIR570,meth,MIR570,1.0
20,2,meth:MIR1284,meth,MIR1284,1.0
20,3,clin:stage,clin,stage,0.92
20,4,meth:LIMCH1,meth,LIMCH1,0.7
20,5,meth:BGLAP,meth,BGLAP,0.68
20,6,meth:CCDC89,meth,CCDC89,0.54
20,7,meth:HIST1H2BK,meth,HIST1H2BK,0.54
20,8,meth:MICALCL,meth,MICALCL,0.52
20,9,meth:LOC285045,meth,LOC285045,0.46
20,10,meth:MIR600,meth,MIR600,0.46
20,11,meth:SSC5D,meth,SSC5D,0.42
20,12,expr:ASIC1,expr,ASIC1,0.42
20,13,meth:CALML5,meth,CALML5,0.38
20,14,meth:DGUOK,meth,DGUOK,0.38
20,15,expr:FLT3,expr,FLT3,0.38
20,16,meth:ASAP1IT1,meth,ASAP1IT1,0.36
20,17,meth:ATF7,meth,ATF7,0.34
20,18,expr:CLEC9A,expr,CLEC9A,0.3
20,19,expr:CCDC9B,expr,CCDC9B,0.3
20,20,meth:AOC2,meth,AOC2,0.28
50,1,clin:stage,clin,stage,1.0
50,2,meth:MIR1284,meth,MIR1284,1.0
50,3,meth:MIR570,meth,MIR570,1.0
50,4,meth:BGLAP,meth,BGLAP,0.96
50,5,meth:LIMCH1,meth,LIMCH1,0.92
50,6,meth:HIST1H2BK,meth,HIST1H2BK,0.86
50,7,meth:MIR600,meth,MIR600,0.8
50,8,meth:MICALCL,meth,MICALCL,0.8
50,9,meth:LOC285045,meth,LOC285045,0.8
50,10,meth:CCDC89,meth,CCDC89,0.78
50,11,meth:DGUOK,meth,DGUOK,0.64
50,12,meth:ATF7,meth,ATF7,0.64
50,13,expr:FLT3,expr,FLT3,0.64
50,14,meth:ASAP1IT1,meth,ASAP1IT1,0.62
50,15,meth:CALML5,meth,CALML5,0.58
50,16,meth:AOC2,meth,AOC2,0.58
50,17,meth:SSC5D,meth,SSC5D,0.58
50,18,meth:ZNF710,meth,ZNF710,0.58
50,19,meth:EIF3G,meth,EIF3G,0.54
50,20,expr:CLEC9A,expr,CLEC9A,0.54
50,21,meth:SLC38A8,meth,SLC38A8,0.52
50,22,expr:ASIC1,expr,ASIC1,0.5
50,23,meth:EXPH5,meth,EXPH5,0.48
50,24,expr:CCDC9B,expr,CCDC9B,0.48
50,25,meth:ATP6V0A4,meth,ATP6V0A4,0.44
50,26,expr:LRRC2,expr,LRRC2,0.44
50,27,meth:CAPN13,meth,CAPN13,0.44
50,28,meth:TNNT2,meth,TNNT2,0.42
50,29,meth:IL17REL,meth,IL17REL,0.42
50,30,meth:C14orf49,meth,C14orf49,0.4
50,31,meth:FAM71F2,meth,FAM71F2,0.36
50,32,meth:C9orf131,meth,C9orf131,0.36
50,33,meth:MAPK8IP2,meth,MAPK8IP2,0.36
50,34,expr:BTG2,expr,BTG2,0.34
50,35,meth:SPINK7,meth,SPINK7,0.34
50,36,meth:GHRL,meth,GHRL,0.32
50,37,expr:ACSF2,expr,ACSF2,0.32
50,38,meth:QPRT,meth,QPRT,0.32
50,39,meth:AVIL,meth,AVIL,0.3
50,40,meth:ABCA1,meth,ABCA1,0.3
50,41,meth:SNORA71B,meth,SNORA71B,0.3
50,42,meth:CLRN1OS,meth,CLRN1OS,0.3
